date,description,minimumAge,name,price,residentAdvisorLink,venue
,,,"Reef with Ben UFO, Courtesy & Saoirse",,https://www.residentadvisor.net/events/1086689,Griessmuehle
,,,Klubnacht,,https://www.residentadvisor.net/events/1098182,Berghain | Panorama Bar | Säule
,,,Lost in Techno! with DJ Emerson,,https://www.residentadvisor.net/events/1105882,Der Weiße Hase
,,,Draußen ist's schöner Open AIR & Club with Daniel Bortz & Chris Schwarzwalder,,https://www.residentadvisor.net/events/1104746,Polygon Club
,,,"Red Salon Closing Pres. Mark Reeve,Wehbba & Hobo",,https://www.residentadvisor.net/events/1090368,Ritter Butzke
,,,"Styx #2 with A Made Up Sound, Max Graef, Daniela La Luz,.",,https://www.residentadvisor.net/events/1090230,[ipsə]
,,,Room 4 Resistance Garden Opening,,https://www.residentadvisor.net/events/1067494,://about blank
,,,"Pretty/Ugly /w. Nick The Record, Textasy, MCMLXXXV & More",,https://www.residentadvisor.net/events/1079597,Salon Zur Wilden Renate
,,,Jauchomatic - Oldschool Classic Night. Openair+Club,,https://www.residentadvisor.net/events/1103134,Suicide Circus
,,,Mechatronica w. Vertical67 & Vivian Koch,,https://www.residentadvisor.net/events/1096398,Sameheads
,,,From Disco to Disco #5 with Open Air Rooftop,,https://www.residentadvisor.net/events/1097836,Burg Schnabel
,,,Tales From The Evil Empire VII,,https://www.residentadvisor.net/events/1080918,OHM
,,,Horse Meat Disco,,https://www.residentadvisor.net/events/1100520,Bauakademie
,,,Katermukke - Dirty Doering / Doctor Dru / Sven Tasnadi / Vanita / Lars Moston / Sacha Cawa,,https://www.residentadvisor.net/events/1095697,Kater Blau
,,,Tresor.Klubnacht,,https://www.residentadvisor.net/events/1101168,Tresor
,,,"Clubnight with Fairmont, Andrea Di Rocco, Justin Massei & Bill Mango",,https://www.residentadvisor.net/events/1110143,Chalet
,,,Humboldthain - 5 Year Anniversary Party,,https://www.residentadvisor.net/events/1046545,Humboldthain Club
,,,Visitor.Area mit Alessia Ceruti & Di Carlo,,https://www.residentadvisor.net/events/1098128,Minimal Bar
,,,"Recycle & Impulse presents: Critical Night: Emperor, Kasra, QZB Impulse at box 2",,https://www.residentadvisor.net/events/1092233,Gretchen
,,,Inbetween,,https://www.residentadvisor.net/events/1108141,Crack Bellmer
,,,Nachtklub,,https://www.residentadvisor.net/events/1101790,Watergate
,,,Return of the Rave,,https://www.residentadvisor.net/events/1108367,Void Club
,,,Diggin Deep - Come out to Play,,https://www.residentadvisor.net/events/1071941,L.U.X.
,,,Fjernstyrt with Cyranotaurus Cortex & Frøken Dalen & Jarle Bråthen,,https://www.residentadvisor.net/events/1102583,Bohnengold
,,,Slimed,,https://www.residentadvisor.net/events/1107448,Loophole
,,,Berlin Beach Festival 2018,,https://www.residentadvisor.net/events/1090543,Badeschiff
,,,Casual Süss,,https://www.residentadvisor.net/events/1106404,Süss War Gestern
,,,Grillteller,,https://www.residentadvisor.net/events/1107538,Farbfernseher
,,,Party,,https://www.residentadvisor.net/events/1073026,Burg Schnabel
,,,"Kolibri Sinfonie with Rain Dog, Silberfischer & More",,https://www.residentadvisor.net/events/1098088,Klunkerkranich
,,,FG Pres. Sofie & Joel Baker,,https://www.residentadvisor.net/events/1104055,Father Graham
,,,House Jams Vol. 2 with DJ Kriton & Bassdee,,https://www.residentadvisor.net/events/1107197,Acud Macht NEU
,,,Nightshade Family,,https://www.residentadvisor.net/events/1103542,Golden Gate
,,,XJAZZ Festival: Fazer,,https://www.residentadvisor.net/events/1104525,Watergate
,,,Good News & Mix Mup b2b all Night,,https://www.residentadvisor.net/events/1105092,Paloma
,,,Rue de Plaisance & Echo Buecher,,https://www.residentadvisor.net/events/1107304,Echo Bücher
,,,Denovali Label Night,,https://www.residentadvisor.net/events/1098950,Silent Green Kulturquartier
,,,All Night with Iman Deeper and Andi De Luxe,,https://www.residentadvisor.net/events/1105344,Promenaden Eck
,,,Maurice & Die Familie Summen,,https://www.residentadvisor.net/events/1079296,Lido Berlin
,,,Balletthalle 02,,https://www.residentadvisor.net/events/1095834,Maze
,,,Cindy's Käferstündchen,,https://www.residentadvisor.net/events/1101099,Beate Uwe
,,,Balearic Beach House,,https://www.residentadvisor.net/events/1104722,Solar
,,,'die Wiese und Wir',,https://www.residentadvisor.net/events/1107674,Velodrom Berlin
,,,Dance I Said / Party & Gadgets B'day Bash,,https://www.residentadvisor.net/events/1108511,Panke
,,,Dropout,,https://www.residentadvisor.net/events/1109050,Club der Visionaere
,,,Glissline,,https://www.residentadvisor.net/events/1078839,Madame Claude
,,,Lena Stoehrfaktor Record Release Konzert,,https://www.residentadvisor.net/events/1090456,Cassiopeia
,,,Secrets - Kinky Party - Hedonistic Cult,,https://www.residentadvisor.net/events/1102321,Insomnia
,,,Urban Botanic Grooves,,https://www.residentadvisor.net/events/1108293,Darwin's Lab im Bikini Berlin
,,,People Must Jam,,https://www.residentadvisor.net/events/1108844,Zum Böhmischen Dorf
,,,Altin Gün,,https://www.residentadvisor.net/events/1096583,Gretchen
,,,Volk+ present / Outta Scope,,https://www.residentadvisor.net/events/1068840,Mysliwska
,,,High Fidelity Club,,https://www.residentadvisor.net/events/1099394,Soda Club
,,,Pump up the Volume #9,,https://www.residentadvisor.net/events/1104548,Cassiopeia
,,,Malka Tuti / Vactrol Park & Sutsche & Katzele,,https://www.residentadvisor.net/events/1105868,arkaoda Berlin
,,,Amberscope,,https://www.residentadvisor.net/events/1108512,Panke
,,,"Kellergedeck: Marc Depulse, Cotumo, Nicorus",,https://www.residentadvisor.net/events/1110186,Kultstätte Keller
,,,Saturday Night Music Curated by Luna Vassarotti,,https://www.residentadvisor.net/events/1109686,Melloch Bar
,,,"Else Dance Party /w. Optimo, Paranoid London, Capablanca & More",,https://www.residentadvisor.net/events/1098778,Else
,,,"BR Open Air w. Martha van Straaten, Caleesi, Lotte Ahoi uvm",,https://www.residentadvisor.net/events/1096421,Polygon Club
,,,About Capital,,https://www.residentadvisor.net/events/1105306,://about blank
,,,"Sonntags Unfug Open Air with Danito & Athina, Alexander Aurel uvm",,https://www.residentadvisor.net/events/1081192,Suicide Circus
,,,Sonntagsinstitut x Institut für Zukunft,,https://www.residentadvisor.net/events/1103657,Arena Club
,,,Lazy.Sunday mit Fab.s & Freunde,,https://www.residentadvisor.net/events/1098130,Minimal Bar
,,,Modul Nacht,,https://www.residentadvisor.net/events/1098328,Griessmuehle
,,,Sonntagsklub mit Transit Records Kyoto,,https://www.residentadvisor.net/events/1103252,AVA Club
,,,Meltdown,,https://www.residentadvisor.net/events/1109047,Club der Visionaere
,,,J.A.W x HAU with Tigran Hamasyan Solo Live,,https://www.residentadvisor.net/events/1090527,HAU Hebbel am Ufer
,,,11110000,,https://www.residentadvisor.net/events/1109442,Greenhouse Berlin
,,,Sunday Club Vol. 2,,https://www.residentadvisor.net/events/1098664,Sounds
,,,Sunday Groove with Bacon Chang,,https://www.residentadvisor.net/events/1105335,Promenaden Eck
,,,Sunday Selection,,https://www.residentadvisor.net/events/1090457,Cassiopeia
,,,Monalisa,,https://www.residentadvisor.net/events/1105825,KitKatClub
,,,Beate Barfuß,,https://www.residentadvisor.net/events/1066320,Beate Uwe
,,,GMF 0513 - Maylight,,https://www.residentadvisor.net/events/1101339,GMF
,,,Nachspiel Sunday-Night-Club,,https://www.residentadvisor.net/events/1105300,KitKatClub
,,,House OF Coito // The Bratz Night,,https://www.residentadvisor.net/events/1109582,Ficken 3000
,,,Alxndr London & Joel Culpepper Verschoben in den Herbst,,https://www.residentadvisor.net/events/1096584,Gretchen
,,,Electric Monday,,https://www.residentadvisor.net/events/1096420,KitKatClub
,,,Manic.Monday mit Babi Hertli,,https://www.residentadvisor.net/events/1098133,Minimal Bar
,,,Nice One,,https://www.residentadvisor.net/events/1108142,Crack Bellmer
,,,"Hallo Montag - Open Air #03 with The/Das, Matteo Luis & Snad",,https://www.residentadvisor.net/events/1073736,[ipsə]
,,,Lorenzo's Birthday with Outcast,,https://www.residentadvisor.net/events/1103944,Club der Visionaere
,,,Ghostface Killah (Wu-Tang Clan) Exclusive Berlin Show,,https://www.residentadvisor.net/events/1095122,Festsaal Kreuzberg
,,,Monday Mood,,https://www.residentadvisor.net/events/1095953,Süss War Gestern
,,,House of Waxx,,https://www.residentadvisor.net/events/1098676,Tresor
,,,Let´s Stay Awake with Verner,,https://www.residentadvisor.net/events/1105340,Promenaden Eck
,,,The Sound Of Berlin,,https://www.residentadvisor.net/events/1100483,Suicide Circus
,,,The Unknown presents Nicola Fornasier,,https://www.residentadvisor.net/events/1086695,Mein Haus Am See
,,,go.Play mit White Lie,,https://www.residentadvisor.net/events/1098135,Minimal Bar
,,,"No Hype (Openair/Indoor) - Daniel Steinberg, Mimi Love, DirrtyDishes",,https://www.residentadvisor.net/events/1096646,[ipsə]
,,,Tuesday Tales,,https://www.residentadvisor.net/events/1095954,Süss War Gestern
,,,Open Decks & Tischtennis / Outdoor & Indoor,,https://www.residentadvisor.net/events/1107511,Humboldthain Club
,,,Naissance Musik,,https://www.residentadvisor.net/events/1101608,Club der Visionaere
